"player_id","first_name","last_name","is_active"
"913","Larry","Johnson","0"
"914","Stanley","Roberts","0"
"915","Rodney","Rogers","0"
"916","Corie","Blount","0"
"917","Jack","Haley","0"
"919","Loy","Vaught","0"
"920","A.C.","Green","0"
"921","Brad","Daugherty","0"
"922","Elden","Campbell","0"
"923","Donyell","Marshall","0"
"924","Anthony","Goldwire","0"
"925","Sean","Higgins","0"
"926","Alvin","Robertson","0"
"927","John","Salley","0"
"928","Robert","Churchwell","0"
"929","Tracy","Moore","0"
"930","Kenny","Gattison","0"
"931","Don","MacLean","0"
"932","Oliver","Miller","0"
"934","Derrick","Coleman","0"
"935","Bryon","Russell","0"
"937","Scottie","Pippen","0"
"938","Rony","Seikaly","0"
"939","Pete","Myers","0"
"940","Earl","Cureton","0"
"941","Ennis","Whatley","0"
"942","Todd","Mundt","0"
"943","Ryan","Lorthridge","0"
"944","Eric","Anderson","0"
"947","Allen","Iverson","0"
"948","Marcus","Camby","0"
"949","Shareef","Abdur-Rahim","0"
"950","Stephon","Marbury","0"
"951","Ray","Allen","0"
"952","Antoine","Walker","0"
"953","Lorenzen","Wright","0"
"954","Kerry","Kittles","0"
"955","Samaki","Walker","0"
"956","Erick","Dampier","0"
"957","Todd","Fuller","0"
"958","Vitaly","Potapenko","0"
"959","Steve","Nash","0"
"960","Tony","Delk","0"
"961","John","Wallace","0"
"962","Walter","McCarty","0"
"963","Dontae'","Jones","0"
"964","Roy","Rogers","0"
"965","Derek","Fisher","0"
"966","Jerome","Williams","0"
"967","Brian","Evans","0"
"968","Priest","Lauderdale","0"
"969","Travis","Knight","0"
"970","Othella","Harrington","0"
"971","Mark","Hendrickson","0"
"976","Jeff","McInnis","0"
"977","Kobe","Bryant","0"
"978","Peja","Stojakovic","0"
"979","Jermaine","O'Neal","0"
"980","Zydrunas","Ilgauskas","0"
"981","Efthimios","Rentzias","0"
"982","Martin","Muursepp","0"
"983","Moochie","Norris","0"
"984","Steve","Hamer","0"
"986","Marcus","Mann","0"
"987","Jason","Sasser","0"
"988","Randy","Livingston","0"
"989","Ben","Davis","0"
"990","Malik","Rose","0"
"992","Marcus","Brown","0"
"994","Jamie","Feick","0"
"997","Chris","Robinson","0"
"998","Mark","Pope","0"
"999","Jeff","Nordgaard","0"
"1000","Shandon","Anderson","0"
"1002","Reggie","Geary","0"
"1003","Drew","Barry","0"
"1005","Walt","Williams","0"
"1006","Herb","Williams","0"
"1007","Luther","Wright","0"
"1008","Johnny","Dawkins","0"
"1010","Randy","Woods","0"
"1022","Julius","Nwosu","0"
"1023","Emanual","Davis","0"
"1024","Horacio","Llamas","0"
"1026","Evric","Gray","0"
"1027","Trevor","Wilson","0"
"1030","Duane","Cooper","0"
"1032","Darvin","Ham","0"
"1034","LeRon","Ellis","0"
"1035","Shawnelle","Scott","0"
"1036","Litterial","Green","0"
"1037","Stojko","Vrankovic","0"
"1038","Juaquin","Hawkins","0"
"1041","Nate","Driggers","0"
"1043","Amal","McCaskill","0"
"1049","Shane","Heal","0"
"1051","Dean","Garrett","0"
"1052","Ben","Handlogten","0"
"1054","Jerrod","Mustaf","0"
"1055","Ed","Stokes","0"
"1059","Aleksandar","Djordjevic","0"
"1061","William","Cunningham","0"
"1063","Carl","Thomas","0"
"1064","Brent","Scott","0"
"1065","Erick","Strickland","0"
"1067","Jeff","Webster","0"
"1068","Greg","Dreiling","0"
"1070","Devin","Gray","0"
"1073","Reggie","Slater","0"
"1074","Matt","Maloney","0"
"1075","Michael","McDonald","0"
"1077","Ray","Owes","0"
"1080","Henry","James","0"
"1085","Ira","Bowman","0"
"1086","Joe","Stephens","0"
"1088","Chucky","Atkins","0"
"1089","Kevin","Salvadori","0"
"1090","Pat","Durham","0"
"1091","Mike","Smrek","0"
"1093","Gaylon","Nickerson","0"
"1096","Ivano","Newbill","0"
"1097","Zarko","Paspalj","0"
"1099","Matt","Steigenga","0"
"1100","Ian","Lockhart","0"
"1101","Rich","King","0"
"1106","Donald","Hodge","0"
"1108","Tony","Farmer","0"
"1109","James","Scott","0"
"1110","Mark","Strickland","0"
"1112","Ben","Wallace","0"
"1114","Jaren","Jackson","0"
"1116","Melvin","Newbern","0"
"1117","John","Shasky","0"
"1118","Tim","Kempton","0"
"1120","Elmer","Bennett","0"
"1121","Dexter","Boney","0"
"1122","Dominique","Wilkins","0"
"1123","Greg","Kite","0"
"1125","Larry","Stewart","0"
"1126","Donald","Whiteside","0"
"1127","Charles","Claxton","0"
"1128","Stephen","Howard","0"
"1129","Ruben","Nembhard","0"
"1131","Jimmy","Carruth","0"
"1132","Larry","Sykes","0"
"1133","Corey","Beck","0"
"1134","Ike","Austin","0"
"1136","Brett","Szabo","0"
"1137","Chris","Jent","0"
"1138","Michael","Hawkins","0"
"1361","Mark","Bradtke","0"
"1365","Xavier","McDaniel","0"
"1380","Lloyd","Daniels","0"
"1381","John","Long","0"
"1425","Aaron","Williams","0"
"1429","Jimmy","Oliver","0"
"1432","Joe","Courtney","0"
"1434","Dragan","Tarlac","0"
"1442","Zeljko","Rebraca","0"
"1444","Lawrence","Funderburke","0"
"1449","Larry","Bird","0"
"1450","Kevin","McHale","0"
"1453","Walter","Davis","0"
"1456","Randy","Wittman","0"
"1460","James","Worthy","0"
"1472","Tom","Chambers","0"
"1474","Larry","Krystkowiak","0"
"1477","Bruce","Bowen","0"
"1478","Stevin","Smith","0"
"1479","Mike","Brown","0"
"1489","Lionel","Simmons","0"
"1495","Tim","Duncan","0"
"1496","Keith","Van Horn","0"
"1497","Chauncey","Billups","0"
"1498","Antonio","Daniels","0"
"1499","Tony","Battie","0"
"1500","Ron","Mercer","0"
"1501","Tim","Thomas","0"
"1502","Adonal","Foyle","0"
"1503","Tracy","McGrady","0"
"1504","Danny","Fortson","0"
"1505","Tariq","Abdul-Wahad","0"
"1506","Austin","Croshere","0"
"1507","Derek","Anderson","0"
"1508","Maurice","Taylor","0"
"1509","Kelvin","Cato","0"
"1510","Brevin","Knight","0"
"1511","Johnny","Taylor","0"
"1512","Chris","Anstey","0"
"1513","Scot","Pollard","0"
"1514","Paul","Grant","0"
"1515","Anthony","Parker","0"
"1516","Ed","Gray","0"
"1517","Bobby","Jackson","0"
"1518","Rodrick","Rhodes","0"
"1519","John","Thomas","0"
"1520","Charles","Smith","0"
"1521","Jacque","Vaughn","0"
"1522","Keith","Booth","0"
"1525","Charles","O'Bannon","0"
"1526","James","Cotton","0"
"1527","Marko","Milic","0"
"1528","Bubba","Wells","0"
"1529","Kebu","Stewart","0"
"1530","James","Collins","0"
"1531","Marc","Jackson","0"
"1532","Jerald","Honeycutt","0"
"1533","Anthony","Johnson","0"
"1535","Jason","Lawson","0"
"1536","Stephen","Jackson","0"
"1538","Cedric","Henderson","0"
"1539","God","Shammgod","0"
"1540","Eric","Washington","0"
"1541","Alvin","Williams","0"
"1542","Predrag","Drobnjak","0"
"1544","Chris","Crawford","0"
"1545","DeJuan","Wheat","0"
"1548","Mark","Blount","0"
"1554","Jamal","Robinson","0"
"1559","Adrian","Griffin","0"
"1562","Gerard","King","0"
"1563","Kevin","Ollie","0"
"1564","Etdrick","Bohannon","0"
"1565","Michael","Stewart","0"
"1569","Keith","Closs","0"
"1572","Nate","Huffman","0"
"1575","Derek","Grimm","0"
"1576","Travis","Williams","0"
"1577","Darnell","Mee","0"
"1578","Shea","Seals","0"
"1585","Brandon","Williams","0"
"1591","Alvin","Sims","0"
"1593","Charles","Shackleford","0"
"1594","Rick","Brunson","0"
"1600","Kornel","David","0"
"1601","Rusty","LaRue","0"
"1603","Walter","Bond","0"
"1607","Troy","Hudson","0"
"1609","Art","Long","0"
"1612","Chris","Garner","0"
"1619","Kiwane","Garris","0"
"1622","Rodney","McCray","0"
"1628","Alan","Ogg","0"
"1630","Mikki","Moore","0"
"1631","Billy","Thompson","0"
"1635","Malcolm","Mackey","0"
"1666","Gerald","Madkins","0"
"1667","Steve","Henson","0"
"1677","Harold","Ellis","0"
"1680","Brian","Oliver","0"
"1682","Reggie","Hanson","0"
"1683","Larry","Robinson","0"
"1709","Michael","Olowokandi","0"
"1710","Mike","Bibby","0"
"1711","Raef","LaFrentz","0"
"1712","Antawn","Jamison","0"
"1713","Vince","Carter","0"
"1714","Robert","Traylor","0"
"1715","Jason","Williams","0"
"1716","Larry","Hughes","0"
"1717","Dirk","Nowitzki","0"
"1718","Paul","Pierce","0"
"1719","Bonzi","Wells","0"
"1720","Michael","Doleac","0"
"1721","Keon","Clark","0"
"1722","Michael","Dickerson","0"
"1723","Matt","Harpring","0"
"1724","Bryce","Drew","0"
"1725","Rasho","Nesterovic","0"
"1726","Mirsad","Turkcan","0"
"1727","Pat","Garrity","0"
"1728","Roshown","McLeod","0"
"1729","Ricky","Davis","0"
"1730","Brian","Skinner","0"
"1731","Tyronn","Lue","0"
"1732","Felipe","Lopez","0"
"1733","Al","Harrington","0"
"1734","Sam","Jacobson","0"
"1735","Vladimir","Stepania","0"
"1736","Corey","Benjamin","0"
"1737","Nazr","Mohammed","0"
"1738","Ansu","Sesay","0"
"1739","Ruben","Patterson","0"
"1740","Rashard","Lewis","0"
"1741","Jelani","McCoy","0"
"1742","Shammond","Williams","0"
"1743","Bruno","Sundov","0"
"1744","Jerome","James","0"
"1745","Casey","Shaw","0"
"1746","DeMarco","Johnson","0"
"1747","Rafer","Alston","0"
"1748","Korleone","Young","0"
"1749","Cuttino","Mobley","0"
"1750","Miles","Simon","0"
