"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"938",1988,"1610612748",1,9,9
"939",1986,"1610612741",6,4,120
"940",1979,"1610612755",3,14,58
"941",1983,"1610612758",1,13,13
"947",1996,"1610612755",1,1,1
"948",1996,"1610612761",1,2,2
"949",1996,"1610612763",1,3,3
"950",1996,"1610612749",1,4,4
"951",1996,"1610612750",1,5,5
"952",1996,"1610612738",1,6,6
"953",1996,"1610612746",1,7,7
"954",1996,"1610612751",1,8,8
"955",1996,"1610612742",1,9,9
"956",1996,"1610612754",1,10,10
"957",1996,"1610612744",1,11,11
"958",1996,"1610612739",1,12,12
"959",1996,"1610612756",1,15,15
"960",1996,"1610612766",1,16,16
"961",1996,"1610612752",1,18,18
"962",1996,"1610612752",1,19,19
"963",1996,"1610612752",1,21,21
"964",1996,"1610612763",1,22,22
"965",1996,"1610612747",1,24,24
"966",1996,"1610612765",1,26,26
"967",1996,"1610612753",1,27,27
"968",1996,"1610612737",1,28,28
"969",1996,"1610612741",1,29,29
"970",1996,"1610612745",2,1,30
"971",1996,"1610612755",2,2,31
"976",1996,"1610612743",2,8,37
"977",1996,"1610612766",1,13,13
"978",1996,"1610612758",1,14,14
"979",1996,"1610612757",1,17,17
"980",1996,"1610612739",1,20,20
"981",1996,"1610612743",1,23,23
"982",1996,"1610612762",1,25,25
"983",1996,"1610612749",2,4,33
"984",1996,"1610612738",2,9,38
"986",1996,"1610612744",2,11,40
"987",1996,"1610612758",2,12,41
"988",1996,"1610612745",2,13,42
"989",1996,"1610612756",2,14,43
"990",1996,"1610612766",2,15,44
"992",1996,"1610612757",2,17,46
"994",1996,"1610612755",2,19,48
"997",1996,"1610612763",2,22,51
"998",1996,"1610612754",2,23,52
"999",1996,"1610612749",2,24,53
"1000",1996,"1610612762",2,25,54
"1002",1996,"1610612739",2,27,56
"1003",1996,"1610612760",2,28,57
"1005",1992,"1610612758",1,7,7
"1006",1981,"1610612754",1,14,14
"1007",1993,"1610612762",1,18,18
"1008",1986,"1610612759",1,10,10
"1010",1992,"1610612746",1,16,16
"1027",1990,"1610612737",2,9,36
"1030",1992,"1610612747",2,9,36
"1034",1991,"1610612746",1,22,22
"1035",1994,"1610612757",2,16,43
"1036",1992,"1610612741",2,12,39
"1043",1996,"1610612753",2,20,49
"1051",1988,"1610612756",2,13,38
"1054",1990,"1610612752",1,17,17
"1055",1993,"1610612748",2,8,35
"1067",1994,"1610612748",2,13,40
"1068",1986,"1610612754",2,2,26
"1075",1995,"1610612744",2,26,55
"1090",1989,"1610612742",2,8,35
"1091",1985,"1610612757",2,1,25
"1093",1994,"1610612737",2,7,34
"1099",1992,"1610612741",2,25,52
"1101",1991,"1610612760",1,14,14
"1106",1991,"1610612742",2,6,33
"1117",1986,"1610612762",3,14,61
"1118",1986,"1610612746",6,8,124
"1120",1992,"1610612737",2,11,38
"1122",1982,"1610612762",1,3,3
"1123",1983,"1610612738",1,21,21
"1127",1994,"1610612756",2,23,50
"1134",1991,"1610612762",2,21,48
"1365",1985,"1610612760",1,4,4
"1381",1978,"1610612765",2,7,29
"1429",1991,"1610612739",2,12,39
"1434",1995,"1610612741",2,2,31
"1442",1994,"1610612760",2,27,54
"1444",1994,"1610612758",2,24,51
"1449",1978,"1610612738",1,6,6
"1450",1980,"1610612738",1,3,3
"1453",1977,"1610612756",1,5,5
"1456",1983,"1610612764",1,22,22
"1460",1982,"1610612747",1,1,1
"1472",1981,"1610612746",1,8,8
"1474",1986,"1610612741",2,4,28
"1479",1985,"1610612741",3,22,69
"1489",1990,"1610612758",1,7,7
"1495",1997,"1610612759",1,1,1
"1496",1997,"1610612755",1,2,2
"1497",1997,"1610612738",1,3,3
"1498",1997,"1610612763",1,4,4
"1499",1997,"1610612743",1,5,5
"1500",1997,"1610612738",1,6,6
"1501",1997,"1610612751",1,7,7
"1502",1997,"1610612744",1,8,8
"1503",1997,"1610612761",1,9,9
"1504",1997,"1610612749",1,10,10
"1505",1997,"1610612758",1,11,11
"1506",1997,"1610612754",1,12,12
"1507",1997,"1610612739",1,13,13
"1508",1997,"1610612746",1,14,14
"1509",1997,"1610612742",1,15,15
"1510",1997,"1610612739",1,16,16
"1511",1997,"1610612753",1,17,17
"1512",1997,"1610612757",1,18,18
"1513",1997,"1610612765",1,19,19
"1514",1997,"1610612750",1,20,20
"1515",1997,"1610612751",1,21,21
"1516",1997,"1610612737",1,22,22
"1517",1997,"1610612760",1,23,23
"1518",1997,"1610612745",1,24,24
"1519",1997,"1610612752",1,25,25
"1520",1997,"1610612748",1,26,26
"1521",1997,"1610612762",1,27,27
"1522",1997,"1610612741",1,28,28
"1525",1997,"1610612765",2,3,31
"1526",1997,"1610612743",2,4,32
"1527",1997,"1610612755",2,5,33
"1528",1997,"1610612742",2,6,34
"1529",1997,"1610612755",2,7,35
"1530",1997,"1610612755",2,8,36
"1531",1997,"1610612744",2,9,37
"1532",1997,"1610612749",2,10,38
"1533",1997,"1610612758",2,11,39
"1535",1997,"1610612743",2,13,41
"1536",1997,"1610612756",2,14,42
"1538",1997,"1610612739",2,16,44
"1539",1997,"1610612764",2,17,45
"1540",1997,"1610612753",2,18,46
"1541",1997,"1610612757",2,19,47
"1542",1997,"1610612764",2,20,48
"1544",1997,"1610612737",2,22,50
"1545",1997,"1610612747",2,23,51
"1548",1997,"1610612760",2,26,54
"1577",1993,"1610612744",2,7,34
"1593",1988,"1610612751",2,7,32
"1622",1983,"1610612745",1,3,3
"1631",1986,"1610612737",1,19,19
"1635",1993,"1610612756",1,27,27
"1667",1990,"1610612749",2,17,44
"1680",1990,"1610612755",2,5,32
"1709",1998,"1610612746",1,1,1
"1710",1998,"1610612763",1,2,2
"1711",1998,"1610612743",1,3,3
"1712",1998,"1610612761",1,4,4
"1713",1998,"1610612744",1,5,5
"1714",1998,"1610612742",1,6,6
"1715",1998,"1610612758",1,7,7
"1716",1998,"1610612755",1,8,8
"1717",1998,"1610612749",1,9,9
"1718",1998,"1610612738",1,10,10
"1719",1998,"1610612765",1,11,11
"1720",1998,"1610612753",1,12,12
"1721",1998,"1610612753",1,13,13
"1722",1998,"1610612745",1,14,14
"1723",1998,"1610612753",1,15,15
"1724",1998,"1610612745",1,16,16
"1725",1998,"1610612750",1,17,17
"1726",1998,"1610612745",1,18,18
"1727",1998,"1610612749",1,19,19
"1728",1998,"1610612737",1,20,20
"1729",1998,"1610612766",1,21,21
"1730",1998,"1610612746",1,22,22
"1731",1998,"1610612743",1,23,23
"1732",1998,"1610612759",1,24,24
"1733",1998,"1610612754",1,25,25
