"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"203498",2013,"83","104.5","10","9","10","29.5","3.32"
"203499",2013,"70.75","89.5","8.75","7.5","12","34.5","3.08"
"203500",2013,"88.5","109.5","11","9.5","16","28.5","3.4"
"203501",2013,"79","101","9.25","8","16","31.5","3.25"
"203502",2013,"86.5","106.5","10","9","13","33.5","3.52"
"203503",2013,"83.5","105.5","9.5","9","7","30","3.25"
"203504",2013,"77.5","97.5","8.75","8.25","3","29.5","3.16"
"203505",2013,"78","100.5","9.5","8.5","4","28","3.14"
"203506",2013,"81.25","100.5","9.25","8.75","15","33","3.25"
"203510",2013,"70","90","8.25","7.5",NULL,NULL,NULL
"203511",2013,"86","109","9.25","8.5","2","28.5","3.51"
"203513",2013,"82.5","108","9.75","8.75","13","24.5","3.57"
"203515",2013,"74.25","92","9.75","7.75","7","33","3.13"
"203516",2013,"83.5","104.5","8.75","8.5","7","29.5","3.4"
"203519",2013,"85","99","9.5","9.25","13","34.5","3.32"
"203524",2013,"81","103","10.5","9","14","29.5","3.19"
"203527",2013,"83.5","110","10","9",NULL,NULL,NULL
"203552",2013,"76","97.5","8.25","8",NULL,NULL,NULL
"203561",2013,"85.5","108.5","11","9","7","26","3.5"
"203648",2014,"84","104.5","9.75","9",NULL,"31.5","3.18"
"203658",2013,"86.5","109","9.5","8.75","0","31","3.32"
"203798",2014,"81","101","9.75","8.75",NULL,"32","3.32"
"203893",2014,"75.5","95","8.5","8.25",NULL,"29.5","3.27"
"203894",2014,"75.25","93","8.5","8.25",NULL,"30.5","3.2"
"203895",2014,"84.5","104","8.5","8.75",NULL,"27.5","3.39"
"203897",2014,"80.25","100","8.75","8.25",NULL,"33.5","3.19"
"203898",2014,"79.25","98","8.75","8.25",NULL,"29","3.3"
"203900",2014,"80.75","100","9.75","8.25",NULL,"36.5","3.18"
"203901",2014,"80","98.5","9","8.75",NULL,"31.5","3.23"
"203902",2014,"78.5","99","8.25","8.5",NULL,"30.5","3.32"
"203903",2014,"80","98","9","8.25",NULL,"33","3.28"
"203906",2014,"81","102","8.5","8.25",NULL,"29","3.28"
"203909",2014,"83.25","102","9.75","8.75",NULL,"33","3.1"
"203910",2014,"79.25","96.5","9.75","8.75",NULL,"33.5","3.27"
"203912",2014,"81.75","100.5","9","8.75",NULL,"31","3.22"
"203913",2014,"80.25","100","9.25","9",NULL,"28","3.5"
"203914",2014,"78.75","96","9.5","8.5",NULL,NULL,NULL
"203915",2014,"80.25","103","9","8.25",NULL,NULL,NULL
"203917",2014,"79.75","102","8.5","8.5",NULL,"29","3.27"
"203918",2014,"80.5","103","8.5","8.5",NULL,"29","3.38"
"203919",2014,"82","102","7.5","8.5",NULL,"24.5","3.5"
"203920",2014,"85","107","8.5","9",NULL,"30.5","3.26"
"203921",2014,"82.75","101.5","9","8.5",NULL,"34","3.18"
"203922",2014,"82","100.5","9.5","9",NULL,"36.5","3.15"
"203923",2014,"84","104","9.5","9",NULL,"28",NULL
"203924",2014,"86.75","107","9.25","9.25",NULL,NULL,NULL
"203925",2014,"78","100","9.75","8.5",NULL,"28.5","3.31"
"203926",2014,"81.25","103","9.75","8.75",NULL,"28.5","3.29"
"203928",2014,"84.5","105","9.75","8.75",NULL,"33","3.36"
"203930",2014,"79","99","9","9",NULL,NULL,NULL
"203932",2014,"83.75","105","10.5","8.75",NULL,"32.5","3.27"
"203933",2014,"82.25","104","9","8.75",NULL,"27","3.26"
"203934",2014,"83","101","9.25","9",NULL,"27.5","3.45"
"203935",2014,"81.25","99","8.75","9",NULL,"33","3.26"
"203937",2014,"86.75","107.5","8.75","8.25",NULL,NULL,NULL
"203939",2014,"84.5","105","9.25","9",NULL,"28.5","3.2"
"203940",2014,"88","109","9.5","9.25",NULL,NULL,NULL
"203943",2014,"88.25","108","11.75","9.75",NULL,"31","3.28"
"203944",2014,"84","105.5","8.25","8.75",NULL,"29","3.27"
"203945",2014,"87.5","109.5","10.5","9.25",NULL,"28.5","3.48"
"203946",2014,"84.75","107","9","8.75",NULL,"31","3.37"
"203948",2014,"86.25","105","9.5","9.25",NULL,"31","3.45"
"203949",2014,"86.25","106.5","9","9.25",NULL,"29.5","3.28"
"203950",2014,"85.25","103.5","10.5","9.75",NULL,"31","3.26"
"203957",2014,"81.5","103","9.5","8.5",NULL,"31.5","3.19"
"204456",2015,"74","96.5","7","7.5","7","26","3.3"
"1626145",2015,"77","97","8.75","8.25","2","26.5","3.32"
"1626146",2015,"87.5","109.5","10.25","9.5",NULL,NULL,NULL
"1626147",2015,"83.75","101","9.5","8.5","12","38","3.22"
"1626148",2015,"83","104.5","9","8.5","4","27.5","3.18"
"1626149",2015,"88.25","109","9.75","9",NULL,NULL,NULL
"1626150",2015,"81","100","9.25","8.25",NULL,"26.5","3.34"
"1626151",2015,"80.25","100.5","10","8.75","1","28.5","3.27"
"1626153",2015,"79.5","101.5","8.5","8","4","29.5","3.29"
"1626154",2015,"82.5","104","8.25","8.5","1","27.5","3.26"
"1626155",2015,"83.5","106","9.25","8.5","5","25.5","3.28"
"1626156",2015,"81.75","102","9.75","8.75",NULL,NULL,NULL
"1626158",2015,"85.5","108","8.5","8.5","15","32.5","3.32"
"1626159",2015,"82.25","104.5","9.25","8.5",NULL,NULL,NULL
